model_code,model_desc,section,type,program_id,program_name,fico_min,mileage_per_year,term_min,term_max,apr,bonus_cash,rv,mf,lease_cash
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,740,,24,24,5.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,740,,25,36,5.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,740,,37,48,5.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,740,,49,60,5.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,740,,61,72,5.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,720,,24,24,5.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,720,,25,36,5.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,720,,37,48,5.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,720,,49,60,5.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,720,,61,72,7.19,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,700,,24,24,6.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,700,,25,36,6.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,700,,37,48,6.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,700,,49,60,6.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,700,,61,72,7.89,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,680,,24,24,7.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,680,,25,36,7.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,680,,37,48,7.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,680,,49,60,7.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,680,,61,72,8.39,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,660,,24,24,9.29,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,660,,25,36,9.29,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,660,,37,48,9.29,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,660,,49,60,9.29,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,660,,61,72,10.19,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,640,,24,24,10.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,640,,25,36,10.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,640,,37,48,10.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,640,,49,60,10.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,640,,61,72,11.29,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,620,,24,24,10.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,620,,25,36,10.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,620,,37,48,10.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,620,,49,60,10.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,620,,61,72,12.09,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,580,,24,24,11.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,580,,25,36,11.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,580,,37,48,11.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,580,,49,60,11.49,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Dealer Choice,C2601RDH05,202601 H704 MS,580,,61,72,11.99,750,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,740,,24,24,3.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,740,,25,36,3.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,740,,37,48,3.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,740,,49,60,3.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,740,,61,72,3.99,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,740,,73,84,6.99,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,720,,24,24,3.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,720,,25,36,3.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,720,,37,48,3.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,720,,49,60,3.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,720,,61,72,3.99,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,720,,73,84,6.99,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,700,,24,24,4.49,0,,,
Q1492AT5,2026 KONA LIMITED AWD,APR Program,Low APR,C2601RLA20,202601 H700 MS,700,,25,36,4.49,0,,,
